"REPORT_PERIOD","S_INFO_WINDCODE","S_FA_BPS"
"20000630","600737.SH",4.08
"20000630","600744.SH",4.19
"20000630","600727.SH",3.83
"20000630","600746.SH",1.943
"20000630","600753.SH",1.54
"20000630","600735.SH",2.35
"20000630","600726.SH",3.11
"20000630","600752.SH",2.14
"20000630","600733.SH",1.16
"20000630","600742.SH",3.07
"20000630","600750.SH",3.67
"20000630","600732.SH",2.099
"20000630","600757.SH",2.64
"20000630","600741.SH",2.09
"20000630","600749.SH",1.37
"20000630","600720.SH",2.86
"20000630","600710.SH",2.77
"20000630","600740.SH",2.53
"20000630","600747.SH",2.934
"20000630","600754.SH",2.19
"20000630","600719.SH",3.35
"20000630","600692.SH",2.51
"20000630","600333.SH",1.704
"20000630","600296.SH",1.749
"20000630","600295.SH",3.62
"20000630","600307.SH",1.78
"20000630","600332.SH",1.978
"20000630","600303.SH",1.816
"20000630","600328.SH",1.756
"20000630","600345.SH",1.576
"20000630","600312.SH",1.334
"20000630","600262.SH",3.29
"20000630","600275.SH",1.329
"20000630","600336.SH",1.821
"20000630","600761.SH",3.37
"20000630","600261.SH",1.33
"20000630","600272.SH",2.24
"20000630","600285.SH",1.195
"20000630","600759.SH",-1.77
"20000630","600260.SH",4.405
"20000630","600282.SH",2.21
"20000630","600758.SH",2.233
"20000630","600259.SH",2.69
"20000630","600279.SH",1.3
"20000630","600268.SH",3.69
"20000630","600767.SH",1.79
"20000630","600267.SH",2.23
"20000630","600278.SH",1.9
"20000630","600777.SH",2.85
"20000630","600783.SH",1.79
"20000630","600776.SH",3.76
"20000630","600389.SH",1.276
"20000630","600388.SH",1.351
"20000630","600400.SH",1.29
"20000630","600383.SH",2.012
"20000630","600382.SH",1.605
"20000630","600366.SH",1.836
"20000630","600770.SH",2.09
"20000630","600365.SH",1.371
"20000630","600769.SH",2.66
"20000630","600300.SH",3.924
"20000630","600310.SH",1.767
"20000630","600377.SH",2.61
"20000630","600320.SH",2.38
"20000630","600299.SH",3.05
"20000630","600817.SH",1.22
"20000630","600799.SH",1.697
"20000630","600807.SH",2.17
"20000630","600790.SH",3.11
"20000630","600816.SH",2.49
"20000630","600797.SH",2.27
"20000630","600804.SH",1.88
"20000630","600789.SH",3.12
"20000630","600802.SH",2.84
"20000630","600813.SH",0.531
"20000630","600796.SH",2.35
"20000630","600787.SH",1.66
"20000630","600819.SH",3.34
"20000630","600801.SH",2.18
"20000630","600811.SH",3.75
"20000630","600795.SH",2.841
"20000630","600800.SH",2.93
"20000630","600810.SH",6.68
"20000630","600793.SH",1.92
"20000630","600771.SH",1.38
"20000630","600781.SH",2.47
"20000630","600779.SH",2.48
"20000630","600778.SH",1.89
"20000630","600786.SH",2.298
"20000630","600852.SH",1.29
"20000630","600838.SH",1.96
"20000630","600858.SH",1.398
"20000630","600850.SH",1.39
"20000630","600820.SH",3.31
"20000630","600843.SH",2.55
"20000630","600856.SH",2.01
"20000630","600848.SH",0.96
"20000630","600865.SH",2.51
"20000630","600855.SH",0.02
"20000630","600841.SH",3.5
"20000630","600854.SH",5.56
"20000630","600864.SH",2.76
"20000630","600840.SH",1.08
"20000630","600829.SH",3.25
"20000630","600823.SH",2.894
"20000630","600828.SH",2.62
"20000630","600827.SH",2.19
"20000630","600822.SH",1.35
"20000630","600825.SH",2.01
"20000630","600837.SH",-8.19
"20000630","600835.SH",6.23
"20000630","600818.SH",-0.32
"20000630","600824.SH",2.89
"20000630","600006.SH",2.72
"20000630","600005.SH",2.28
"20000630","600052.SH",1.9
"20000630","600003.SH",2.29
"20000630","600019.SH",1.56
"20000630","600051.SH",2.77
"20000630","600885.SH",1.11
"20000630","600893.SH",2.79
"20000630","600869.SH",1.78
"20000630","600875.SH",2.57
"20000630","600884.SH",3.43
"20000630","600892.SH",0.064
"20000630","600868.SH",2.29
"20000630","600874.SH",0.866
"20000630","600867.SH",4.3
"20000630","600883.SH",1.39
"20000630","600891.SH",2.76
"20000630","600872.SH",2.83
"20000630","600897.SH",4.199
"20000630","600871.SH",2.18
"20000630","600878.SH",1.82
"20000630","600888.SH",1.92
"20000630","600895.SH",3.39
"20000630","600870.SH",2.91
"20000630","600877.SH",3.21
"20000630","600886.SH",3.276
"20000630","600844.SH",2.15
"20000630","600853.SH",1.68
"20000630","600860.SH",2.56
"20000630","600839.SH",6.09
"20000630","600845.SH",1.14
"20000630","600103.SH",4.254
